,entity_id,trip_update_trip_trip_id,trip_update_trip_start_time,trip_update_trip_start_date,trip_update_trip_route_id,trip_update_trip_direction_id,trip_update_vehicle_id,trip_update_vehicle_label,trip_update_trip_schedule_relationship,feed_message
431,62145272,62145272,15:00:00,20240606,30,1,,,,trip_updates (2024-06-06 18:11:20.441111+00:00)
432,61945935,61945935,14:35:00,20240606,39,1,y1261,,,trip_updates (2024-06-06 18:11:20.441111+00:00)
433,61393216,61393216,14:53:00,20240606,16,1,,,,trip_updates (2024-06-06 18:11:20.441111+00:00)
434,62216158,62216158,14:43:00,20240606,117,0,y1435,,,trip_updates (2024-06-06 18:11:20.441111+00:00)
435,61393179,61393179,15:05:00,20240606,15,0,y1899,,,trip_updates (2024-06-06 18:11:20.441111+00:00)
436,61869574,61869574,14:25:00,20240606,134,1,y1428,1428,,trip_updates (2024-06-06 18:11:20.441111+00:00)
437,61393381,61393381,14:15:00,20240606,19,1,y1847,1847,,trip_updates (2024-06-06 18:11:20.441111+00:00)
438,61391752,61391752,14:27:00,20240606,1,0,y1881,,,trip_updates (2024-06-06 18:11:20.441111+00:00)
439,61871044,61871044,14:42:00,20240606,109,0,y1942,,,trip_updates (2024-06-06 18:11:20.441111+00:00)
440,61804594,61804594,14:01:00,20240606,Green-E,0,G-10199,3884-3649,,trip_updates (2024-06-06 18:11:20.441111+00:00)
441,61848354,61848354,13:59:00,20240606,71,0,y1989,1989,,trip_updates (2024-06-06 18:11:20.441111+00:00)
442,61391407,61391407,14:10:00,20240606,9,0,y1819,1819,,trip_updates (2024-06-06 18:11:20.441111+00:00)
443,61394343,61394343,15:02:00,20240606,7,0,y3240,,,trip_updates (2024-06-06 18:11:20.441111+00:00)
444,61870607,61870607,14:45:00,20240606,106,1,y1930,,,trip_updates (2024-06-06 18:11:20.441111+00:00)
445,61848630,61848630,14:45:00,20240606,73,1,y2087,,,trip_updates (2024-06-06 18:11:20.441111+00:00)
446,61392597,61392597,14:08:00,20240606,23,0,y1839,,,trip_updates (2024-06-06 18:11:20.441111+00:00)
447,61849073,61849073,14:00:00,20240606,83,0,y2007,2007,,trip_updates (2024-06-06 18:11:20.441111+00:00)
448,61392586,61392586,13:38:00,20240606,23,0,y1857,1857,,trip_updates (2024-06-06 18:11:20.441111+00:00)
449,61946570,61946570,13:52:00,20240606,741,1,y1343,,,trip_updates (2024-06-06 18:11:20.441111+00:00)
450,61392606,61392606,14:34:00,20240606,22,0,y1869,,,trip_updates (2024-06-06 18:11:20.441111+00:00)
